Feature_1,Feature_2,Correlation
died_immediately,pot_max,0.26231581398152126
age,pot_avg,0.007900283123141491
gender,pot_avg,-0.07585848154080134
ethnicity,pot_avg,-0.06651604335382053
marital_DIVORCED,pot_avg,-0.028272523409033128
marital_MARRIED,pot_avg,0.010092190123391647
marital_SEPARATED,pot_avg,0.04474457319030584
marital_SINGLE,pot_avg,-0.018895928311903443
marital_WIDOWED,pot_avg,0.011235582321823851
icu_duration_hour,pot_avg,-0.04307323932997826
icu_times,pot_avg,0.07437755129720217
icu_times_total,pot_avg,0.07837197890694007
icu_times_sepsis,pot_avg,0.01600451055992857
icu_times_total_sepsis,pot_avg,0.01600451055992857
Comorbidity,pot_avg,0.028262334606765607
glu_min,pot_avg,0.029676484005552953
glu_max,pot_avg,0.12408102134027801
glu_avg,pot_avg,0.15177319564742384
figglu_min,pot_avg,0.0021273729296418602
figglu_max,pot_avg,0.032732951519939435
figglu_avg,pot_avg,0.052328157589014115
pot_min,pot_avg,0.7611168407030934
pot_max,pot_avg,0.6214640882542558
pot_avg,pot_avg,1.0
sod_min,pot_avg,-0.1897185519664911
sod_max,pot_avg,-0.2013482607288726
sod_avg,pot_avg,-0.23357629756910706
hem_min,pot_avg,0.06543730978941892
hem_max,pot_avg,0.022857546986329476
hem_avg,pot_avg,0.06023258667855937
chl_min,pot_avg,-0.16703269770748194
chl_max,pot_avg,-0.1959910143788657
chl_avg,pot_avg,-0.2030478293598883
bun_min,pot_avg,0.38208903274073003
bun_max,pot_avg,0.2823173091994291
bun_avg,pot_avg,0.36076714816433453
cre_min,pot_avg,0.131718408326378
cre_max,pot_avg,0.09466757360687915
cre_avg,pot_avg,0.1453272299860958
hemo_min,pot_avg,-0.017857566216738938
hemo_max,pot_avg,-0.05808993251475586
hemo_avg,pot_avg,-0.04011042662665884
car_min,pot_avg,-0.19380257577154533
car_max,pot_avg,-0.23650645871688855
car_avg,pot_avg,-0.24981481804568947
rbc_min,pot_avg,-0.007062824205127064
rbc_max,pot_avg,-0.03459818401197835
rbc_avg,pot_avg,-0.017017721707962275
pla_min,pot_avg,0.009030058889369506
pla_max,pot_avg,0.012411483870888437
pla_avg,pot_avg,0.017547384915744795
wbc_min,pot_avg,0.06173284032032118
wbc_max,pot_avg,0.013250218820051944
wbc_avg,pot_avg,0.0355234928762028
hea_min,pot_avg,-0.1751294288355436
hea_max,pot_avg,-0.011968247880451312
hea_avg,pot_avg,0.02862422397173583
mag_min,pot_avg,0.31084623651325605
mag_max,pot_avg,0.11591504009193997
mag_avg,pot_avg,0.27023001085765586
res_min,pot_avg,-0.05483528680086029
res_max,pot_avg,-0.03527095080941179
res_avg,pot_avg,0.0033962993501144667
spo_min,pot_avg,-0.14676560744879466
spo_max,pot_avg,-0.13885049509146954
spo_avg,pot_avg,-0.1818203469556256
spo_alarms,pot_avg,0.05961311036235831
temp_min,pot_avg,0.028170972252802923
temp_max,pot_avg,-0.08875745390405264
temp_avg,pot_avg,-0.06801392868421668
hear_mode_1st Deg AV Block,pot_avg,0.03763501782239761
hear_mode_A Paced,pot_avg,0.030091656026440695
hear_mode_AV Paced,pot_avg,-0.006093611393667751
hear_mode_Atrial Fib,pot_avg,0.026771820919329788
hear_mode_Atrial Flutter,pot_avg,-0.0022998754536043046
hear_mode_Junctional,pot_avg,0.0020540113279316112
hear_mode_MultFocalAtrTach,pot_avg,-0.022342748019612543
hear_mode_Normal Sinus,pot_avg,-0.09212050759021216
hear_mode_Parox Atr Tachy,pot_avg,0.016082147952769795
hear_mode_Sinus Brady,pot_avg,-0.029835440508056657
hear_mode_Sinus Tachy,pot_avg,0.08590660257464815
hear_mode_V Paced,pot_avg,0.015636636340950954
hear_last_1st Deg AV Block,pot_avg,0.023749750820737783
hear_last_2nd AVB Mobitz 2,pot_avg,0.03742931238187113
hear_last_A Paced,pot_avg,0.029295470522314848
hear_last_AV Paced,pot_avg,-0.004805161938058348
hear_last_Asystole,pot_avg,0.13578479727787318
hear_last_Atrial Fib,pot_avg,-0.0009918259672334483
hear_last_Atrial Flutter,pot_avg,-0.008656028582419229
hear_last_Comp Heart Block,pot_avg,0.04217399694933746
hear_last_Idioventricular,pot_avg,0.11566283503446714
hear_last_Junctional,pot_avg,0.1373738229477836
hear_last_MultFocalAtrTach,pot_avg,-0.022342748019612543
hear_last_Normal Sinus,pot_avg,-0.09499065205252125
hear_last_Other/Remarks,pot_avg,0.040898848106339265
hear_last_Sinus Brady,pot_avg,0.027499161866151485
hear_last_Sinus Tachy,pot_avg,-0.024570083194172802
hear_last_Supravent Tachy,pot_avg,-0.010144368345840395
hear_last_V Paced,pot_avg,0.0031299334292492704
died_immediately,pot_avg,0.2816145466094123
age,sod_min,0.1398867253899231
gender,sod_min,0.11024970450875056
ethnicity,sod_min,-0.0023421711459154174
marital_DIVORCED,sod_min,-0.0021760601226726507
marital_MARRIED,sod_min,-0.02049993147007717
marital_SEPARATED,sod_min,-0.010417232323503837
marital_SINGLE,sod_min,-0.008414448313327933
marital_WIDOWED,sod_min,0.04058495054636383
icu_duration_hour,sod_min,-0.3471942352570535
icu_times,sod_min,-0.017222390916769092
icu_times_total,sod_min,0.013839813020819148
icu_times_sepsis,sod_min,0.010856116673943698
icu_times_total_sepsis,sod_min,0.010856116673943698
Comorbidity,sod_min,0.01380777063465147
glu_min,sod_min,0.1824823742669366
glu_max,sod_min,-0.21492471601745652
glu_avg,sod_min,-0.024685103986801325
figglu_min,sod_min,0.20608472216602305
figglu_max,sod_min,-0.08136712677608117
figglu_avg,sod_min,0.10210539023189259
pot_min,sod_min,0.015349151819201831
pot_max,sod_min,-0.25459234879592924
pot_avg,sod_min,-0.1897185519664911
sod_min,sod_min,1.0
sod_max,sod_min,0.4486395698899066
sod_avg,sod_min,0.7988036377651804
hem_min,sod_min,0.22241920994875847
hem_max,sod_min,-0.072899096708403
hem_avg,sod_min,0.09926593381685224
chl_min,sod_min,0.7638292917273564
chl_max,sod_min,0.42949170436533163
chl_avg,sod_min,0.6488333378227255
bun_min,sod_min,0.035672049830560666
bun_max,sod_min,-0.17119286373153803
bun_avg,sod_min,-0.07373752224416452
cre_min,sod_min,-0.0030406482534223182
cre_max,sod_min,-0.04331946313465657
cre_avg,sod_min,-0.03396042684361042
hemo_min,sod_min,0.19252516024754357
hemo_max,sod_min,-0.10557587844222162
hemo_avg,sod_min,0.0651945497443848
car_min,sod_min,0.17321761630725707
car_max,sod_min,-0.1416369837106917
car_avg,sod_min,-0.0011982537197328313
rbc_min,sod_min,0.2008335801279907
rbc_max,sod_min,-0.06022940702609406
rbc_avg,sod_min,0.07959766180642674
pla_min,sod_min,0.1360357328173441
pla_max,sod_min,-0.10488227552427824
pla_avg,sod_min,0.020856736923865422
wbc_min,sod_min,0.09578118926157438
wbc_max,sod_min,-0.12224620867590033
wbc_avg,sod_min,0.00676332179332304
hea_min,sod_min,0.16174037928681453
hea_max,sod_min,-0.1352723065226486
hea_avg,sod_min,0.025401494533926993
mag_min,sod_min,0.11975124422012848
mag_max,sod_min,-0.10363618263409623
mag_avg,sod_min,0.005171599014563196
res_min,sod_min,0.1546986246539133
res_max,sod_min,-0.21912583656455956
res_avg,sod_min,-0.07902676967631508
spo_min,sod_min,0.2221113334476956
spo_max,sod_min,-0.006941841130333722
spo_avg,sod_min,0.05331552919568759
spo_alarms,sod_min,-0.22504835838296483
temp_min,sod_min,0.031089279368615927
temp_max,sod_min,-0.16991961950933127
temp_avg,sod_min,-0.018344845397847385
hear_mode_1st Deg AV Block,sod_min,-0.004570102442393909
hear_mode_A Paced,sod_min,-0.021299343995531378
hear_mode_AV Paced,sod_min,-0.005878700307222098
hear_mode_Atrial Fib,sod_min,-0.027229500292386914
hear_mode_Atrial Flutter,sod_min,-0.008800616653277901
hear_mode_Junctional,sod_min,0.003220861364953421
hear_mode_MultFocalAtrTach,sod_min,0.015403256917136685
hear_mode_Normal Sinus,sod_min,0.028462009320351336
hear_mode_Parox Atr Tachy,sod_min,-0.015052731963320808
hear_mode_Sinus Brady,sod_min,0.015090400529780003
hear_mode_Sinus Tachy,sod_min,0.012560674234658887
hear_mode_V Paced,sod_min,-0.0473919218085598
hear_last_1st Deg AV Block,sod_min,-0.05963053725271834
hear_last_2nd AVB Mobitz 2,sod_min,0.0032208613649541864
hear_last_A Paced,sod_min,-0.012018133947557996
hear_last_AV Paced,sod_min,-0.06313300688695594
hear_last_Asystole,sod_min,-0.07699654619711567
hear_last_Atrial Fib,sod_min,-0.006771457853826013
hear_last_Atrial Flutter,sod_min,0.008549492192074178
hear_last_Comp Heart Block,sod_min,0.00886692813558273
hear_last_Idioventricular,sod_min,-0.04018276846661346
hear_last_Junctional,sod_min,0.005417471215286719
hear_last_MultFocalAtrTach,sod_min,0.015403256917136685
hear_last_Normal Sinus,sod_min,0.030072481005368416
hear_last_Other/Remarks,sod_min,-0.008149566556337922
hear_last_Sinus Brady,sod_min,0.05973692266326677
hear_last_Sinus Tachy,sod_min,0.023132074294377986
hear_last_Supravent Tachy,sod_min,0.07631523467805545
hear_last_V Paced,sod_min,-0.034387580571511374
died_immediately,sod_min,-0.09723499654762997
age,sod_max,0.12003741804169062
gender,sod_max,0.05356517950840907
ethnicity,sod_max,0.013659046090020855
marital_DIVORCED,sod_max,-0.03854620901471506
marital_MARRIED,sod_max,0.028906982967243335
marital_SEPARATED,sod_max,-0.03509402035960837
marital_SINGLE,sod_max,-0.021214290517344195
marital_WIDOWED,sod_max,0.020012067950878027
icu_duration_hour,sod_max,0.30156180665852556
icu_times,sod_max,-0.014633557791709245
icu_times_total,sod_max,-0.022350201275846252
icu_times_sepsis,sod_max,-0.03529432694389517
icu_times_total_sepsis,sod_max,-0.03529432694389517
Comorbidity,sod_max,-0.024386268457762914
glu_min,sod_max,-0.21280604623974622
glu_max,sod_max,0.2239599247353558
glu_avg,sod_max,0.05773533840406043
figglu_min,sod_max,-0.14468905095518658
figglu_max,sod_max,0.18026858886349176
figglu_avg,sod_max,0.04205783126367089
pot_min,sod_max,-0.3681973027143242
pot_max,sod_max,0.09707778634934278
pot_avg,sod_max,-0.2013482607288726
sod_min,sod_max,0.4486395698899066
sod_max,sod_max,1.0
sod_avg,sod_max,0.8616243484482126
hem_min,sod_max,-0.1977817814714303
hem_max,sod_max,0.15132802621577235
hem_avg,sod_max,-0.04677176760549536
chl_min,sod_max,0.35267343455686767
chl_max,sod_max,0.7863899164230405
chl_avg,sod_max,0.6392156522469922
bun_min,sod_max,-0.014863121287918078
bun_max,sod_max,0.27899818443946856
bun_avg,sod_max,0.1469273054868708
cre_min,sod_max,-0.05934162298827778
cre_max,sod_max,-0.01046612662220461
cre_avg,sod_max,-0.038196042373435705
hemo_min,sod_max,-0.201067066058979
hemo_max,sod_max,0.13353012567017314
hemo_avg,sod_max,-0.04444920295478795
car_min,sod_max,-0.11851836642281101
car_max,sod_max,0.2195870415676254
car_avg,sod_max,0.06907319813290844
rbc_min,sod_max,-0.17715491137305064
rbc_max,sod_max,0.11622940675960385
rbc_avg,sod_max,-0.032316008514280854
pla_min,sod_max,-0.10415719918420904
pla_max,sod_max,0.13097349599028474
pla_avg,sod_max,0.014158586006320513
wbc_min,sod_max,-0.09423935226645813
wbc_max,sod_max,0.12013302406817909
wbc_avg,sod_max,0.008074264023394239
hea_min,sod_max,-0.07496444738045994
hea_max,sod_max,0.1910657528184877
hea_avg,sod_max,0.0171519023423702
mag_min,sod_max,-0.066013487372342
mag_max,sod_max,0.2536511690435259
mag_avg,sod_max,0.14388754189534822
res_min,sod_max,-0.16702008992617204
res_max,sod_max,0.1880987317956381
res_avg,sod_max,0.029165967464372833
spo_min,sod_max,-0.0660237005388116
spo_max,sod_max,0.06962633706922497
spo_avg,sod_max,0.11338982304122239
spo_alarms,sod_max,0.11915995064679431
temp_min,sod_max,-0.09698647394527254
temp_max,sod_max,0.13595696436887267
temp_avg,sod_max,0.00891514221382628
hear_mode_1st Deg AV Block,sod_max,-0.01572533893753991
hear_mode_A Paced,sod_max,-0.04352968281299597
hear_mode_AV Paced,sod_max,-0.01609785565609338
hear_mode_Atrial Fib,sod_max,0.001917090225099899
hear_mode_Atrial Flutter,sod_max,0.02715360230488887
hear_mode_Junctional,sod_max,-0.02245377726864209
hear_mode_MultFocalAtrTach,sod_max,-0.02245377726864285
hear_mode_Normal Sinus,sod_max,0.07008255309596832
hear_mode_Parox Atr Tachy,sod_max,0.04402335811193773
hear_mode_Sinus Brady,sod_max,0.014395953709207506
hear_mode_Sinus Tachy,sod_max,-0.05315731658378934
hear_mode_V Paced,sod_max,-0.07146756651775854
hear_last_1st Deg AV Block,sod_max,-0.03983591431311672
hear_last_2nd AVB Mobitz 2,sod_max,-0.005834493423497339
hear_last_A Paced,sod_max,-0.03893337896688806
hear_last_AV Paced,sod_max,-0.018081841773452765
hear_last_Asystole,sod_max,-0.040693976229705185
hear_last_Atrial Fib,sod_max,-0.0060303075477538565
hear_last_Atrial Flutter,sod_max,0.03072796097712254
hear_last_Comp Heart Block,sod_max,-0.004336371764913325
hear_last_Idioventricular,sod_max,-0.0005110462276545251
hear_last_Junctional,sod_max,-0.007527197515350955
hear_last_MultFocalAtrTach,sod_max,-0.02245377726864285
hear_last_Normal Sinus,sod_max,0.024471068314474084
hear_last_Other/Remarks,sod_max,0.03455275495597566
hear_last_Sinus Brady,sod_max,0.02816373988549944
hear_last_Sinus Tachy,sod_max,0.01016303631721487
hear_last_Supravent Tachy,sod_max,0.0384835968302229
hear_last_V Paced,sod_max,-0.05414094349153771
died_immediately,sod_max,0.002585921761590197
age,sod_avg,0.15456470921584103
gender,sod_avg,0.09778210839334565
ethnicity,sod_avg,0.009553886191493416
marital_DIVORCED,sod_avg,-0.019701426218856826
marital_MARRIED,sod_avg,0.005186056408715895
marital_SEPARATED,sod_avg,-0.0320284814929681
marital_SINGLE,sod_avg,-0.018952652556029192
marital_WIDOWED,sod_avg,0.03609543341594316
icu_duration_hour,sod_avg,-0.005984001331515887
icu_times,sod_avg,-0.0053160809898315925
icu_times_total,sod_avg,0.0023828180129343724
icu_times_sepsis,sod_avg,-0.009514212581618633
icu_times_total_sepsis,sod_avg,-0.009514212581618633
Comorbidity,sod_avg,-0.004922104264901256
glu_min,sod_avg,-0.03225691012649813
glu_max,sod_avg,0.045709572280196925
glu_avg,sod_avg,0.03659368965805197
figglu_min,sod_avg,0.02275736206997878
figglu_max,sod_avg,0.07626588448470795
figglu_avg,sod_avg,0.0929785614902833
pot_min,sod_avg,-0.22884332109472827
pot_max,sod_avg,-0.07596426411703472
pot_avg,sod_avg,-0.23357629756910706
sod_min,sod_avg,0.7988036377651804
sod_max,sod_avg,0.8616243484482126
sod_avg,sod_avg,1.0
hem_min,sod_avg,0.004540530992201489
hem_max,sod_avg,0.0441396913387535
hem_avg,sod_avg,0.02103441554770258
chl_min,sod_avg,0.6415219001886558
chl_max,sod_avg,0.7274386207109679
chl_avg,sod_avg,0.7711269480378389
bun_min,sod_avg,0.010615480575414638
bun_max,sod_avg,0.0732905029227494
bun_avg,sod_avg,0.04936198843989125
cre_min,sod_avg,-0.03634175777222277
cre_max,sod_avg,-0.04068792196850927
cre_avg,sod_avg,-0.045194539585973074
hemo_min,sod_avg,-0.022057344873149986
hemo_max,sod_avg,0.01587546184000242
hemo_avg,sod_avg,0.000386391951981864
car_min,sod_avg,0.037233042992004785
car_max,sod_avg,0.07078811714213105
car_avg,sod_avg,0.05833761350543512
rbc_min,sod_avg,0.002759141671873161
rbc_max,sod_avg,0.034335390054637586
rbc_avg,sod_avg,0.021821195267402546
pla_min,sod_avg,0.019192792354698625
pla_max,sod_avg,0.013196529349444085
pla_avg,sod_avg,0.015721546514749447
wbc_min,sod_avg,-0.003626843758046875
wbc_max,sod_avg,0.013305791541276295
wbc_avg,sod_avg,0.009780700109036389
hea_min,sod_avg,0.03942926199297746
hea_max,sod_avg,0.055690049651934526
hea_avg,sod_avg,0.024860057260158063
mag_min,sod_avg,0.03190805634022176
mag_max,sod_avg,0.09848049119879397
mag_avg,sod_avg,0.09817996623302153
res_min,sod_avg,-0.013176908575880275
res_max,sod_avg,-0.008331187953769102
res_avg,sod_avg,-0.02343885932878075
spo_min,sod_avg,0.08308287107975537
spo_max,sod_avg,0.03769775722732342
spo_avg,sod_avg,0.10041363602057528
spo_alarms,sod_avg,-0.0466036528553878
temp_min,sod_avg,-0.05591467063956623
temp_max,sod_avg,-0.009089386007675318
temp_avg,sod_avg,-0.014843078370392586
hear_mode_1st Deg AV Block,sod_avg,0.0036894042161841854
hear_mode_A Paced,sod_avg,-0.03723265380338482
hear_mode_AV Paced,sod_avg,-0.018083975237765438
hear_mode_Atrial Fib,sod_avg,-0.02548235541770569
hear_mode_Atrial Flutter,sod_avg,0.011283833550620863
hear_mode_Junctional,sod_avg,-0.01487769218473897
hear_mode_MultFocalAtrTach,sod_avg,-0.005575441934606554
hear_mode_Normal Sinus,sod_avg,0.06550742933211784
hear_mode_Parox Atr Tachy,sod_avg,0.01918393091160929
hear_mode_Sinus Brady,sod_avg,0.009581356497193116
hear_mode_Sinus Tachy,sod_avg,-0.021114167636834776
hear_mode_V Paced,sod_avg,-0.07630006253124276
hear_last_1st Deg AV Block,sod_avg,-0.04400864072221718
hear_last_2nd AVB Mobitz 2,sod_avg,-0.001378938062368259
hear_last_A Paced,sod_avg,-0.029596874283672196
hear_last_AV Paced,sod_avg,-0.04431031541873586
hear_last_Asystole,sod_avg,-0.06372858305537753
hear_last_Atrial Fib,sod_avg,-0.01512108437333569
hear_last_Atrial Flutter,sod_avg,0.014666447616945149
hear_last_Comp Heart Block,sod_avg,-0.002940835336222904
hear_last_Idioventricular,sod_avg,-0.01694391392548508
hear_last_Junctional,sod_avg,-0.012033588400180564
hear_last_MultFocalAtrTach,sod_avg,-0.005575441934606554
hear_last_Normal Sinus,sod_avg,0.03693050455715558
hear_last_Other/Remarks,sod_avg,-0.005330023463709375
hear_last_Sinus Brady,sod_avg,0.050273906982269155
hear_last_Sinus Tachy,sod_avg,0.02625853745967166
hear_last_Supravent Tachy,sod_avg,0.06786337582959971
hear_last_V Paced,sod_avg,-0.06159558757939972
died_immediately,sod_avg,-0.04649851548414204
age,hem_min,0.0604827123333573
gender,hem_min,-0.025354773089481735
ethnicity,hem_min,-0.029688686075876453
marital_DIVORCED,hem_min,-0.015194467322771538
marital_MARRIED,hem_min,-0.03311463979823455
marital_SEPARATED,hem_min,0.006916357387559215
marital_SINGLE,hem_min,0.020344223528070374
marital_WIDOWED,hem_min,0.027348655838074706
icu_duration_hour,hem_min,-0.430561920956803
icu_times,hem_min,-0.0595889267062151
icu_times_total,hem_min,-0.06840281255147673
icu_times_sepsis,hem_min,-0.06551343735273983
icu_times_total_sepsis,hem_min,-0.06551343735273983
Comorbidity,hem_min,-0.07545393131299079
glu_min,hem_min,0.2762919391003146
glu_max,hem_min,-0.12298922543014235
glu_avg,hem_min,0.08485592460050603
figglu_min,hem_min,0.18766692081205635
figglu_max,hem_min,-0.03166655276483028
figglu_avg,hem_min,0.14417121621245704
pot_min,hem_min,0.27226751807452915
pot_max,hem_min,-0.16830357566078816
pot_avg,hem_min,0.06543730978941892
sod_min,hem_min,0.22241920994875847
sod_max,hem_min,-0.1977817814714303
sod_avg,hem_min,0.004540530992201489
hem_min,hem_min,1.0
hem_max,hem_min,0.38984991840636807
hem_avg,hem_min,0.8316464671324766
chl_min,hem_min,0.15372535208171914
chl_max,hem_min,-0.21334083698373385
chl_avg,hem_min,-0.024608989300028725
bun_min,hem_min,0.05998400291300318
bun_max,hem_min,-0.23518214533805293
bun_avg,hem_min,-0.09040078467825971
cre_min,hem_min,0.04764776245630456
cre_max,hem_min,0.019813359530740357
cre_avg,hem_min,0.0275728465223806
hemo_min,hem_min,0.9129821595951797
hemo_max,hem_min,0.3568729202960164
hemo_avg,hem_min,0.7421180139922139
car_min,hem_min,0.1815078743329698
car_max,hem_min,-0.20106174379738934
car_avg,hem_min,-0.038358322121126796
rbc_min,hem_min,0.8538402644947345
rbc_max,hem_min,0.29277685199590736
rbc_avg,hem_min,0.6750166071512683
pla_min,hem_min,0.1339105203893894
pla_max,hem_min,-0.21807918878798696
pla_avg,hem_min,-0.04089499531630041
wbc_min,hem_min,0.15783314917408098
wbc_max,hem_min,-0.14835493230767563
wbc_avg,hem_min,0.0210105649455145
hea_min,hem_min,0.08896200052281489
hea_max,hem_min,-0.20494595250828226
hea_avg,hem_min,-0.02187643716695736
mag_min,hem_min,0.17227221868056786
mag_max,hem_min,-0.2227738625919976
mag_avg,hem_min,-0.03804358458015071
res_min,hem_min,0.23510036958704758
res_max,hem_min,-0.25533782895487356
res_avg,hem_min,-0.001373537632424682
spo_min,hem_min,0.15064429607825103
spo_max,hem_min,-0.1174727761030388
spo_avg,hem_min,-0.12345269076863125
spo_alarms,hem_min,-0.1829082005625247
temp_min,hem_min,0.06285559182417882
temp_max,hem_min,-0.2129495990005969
temp_avg,hem_min,-0.04404646057586027
hear_mode_1st Deg AV Block,hem_min,0.021054840504725083
hear_mode_A Paced,hem_min,0.08039552266302957
hear_mode_AV Paced,hem_min,0.0017801205205037912
hear_mode_Atrial Fib,hem_min,-0.00011722307192114248
hear_mode_Atrial Flutter,hem_min,-0.0036107568544964334
hear_mode_Junctional,hem_min,-0.012048300553944846
hear_mode_MultFocalAtrTach,hem_min,0.05043467871898086
hear_mode_Normal Sinus,hem_min,-0.09029688121582798
hear_mode_Parox Atr Tachy,hem_min,-0.002642260663396835
hear_mode_Sinus Brady,hem_min,0.036551844145312457
hear_mode_Sinus Tachy,hem_min,0.06803710646602132
hear_mode_V Paced,hem_min,0.039514715108710005
hear_last_1st Deg AV Block,hem_min,-0.009086096585997995
hear_last_2nd AVB Mobitz 2,hem_min,0.0007170392975132738
hear_last_A Paced,hem_min,0.08084898231981491
hear_last_AV Paced,hem_min,-0.044476828508797694
hear_last_Asystole,hem_min,-0.01620133924633132
hear_last_Atrial Fib,hem_min,0.030658439702680212
hear_last_Atrial Flutter,hem_min,-0.04701260599821922
hear_last_Comp Heart Block,hem_min,-0.05127223916509766
hear_last_Idioventricular,hem_min,0.04551182541064996
hear_last_Junctional,hem_min,0.03063966092791128
hear_last_MultFocalAtrTach,hem_min,0.05043467871898086
hear_last_Normal Sinus,hem_min,-0.008967907970194446
hear_last_Other/Remarks,hem_min,-0.034684878329776056
hear_last_Sinus Brady,hem_min,0.016828876851730755
hear_last_Sinus Tachy,hem_min,-0.01495808634452168
hear_last_Supravent Tachy,hem_min,0.03766933886752297
hear_last_V Paced,hem_min,0.020224024799863245
died_immediately,hem_min,-0.014786634280950305
age,hem_max,0.028125324575797292
gender,hem_max,-0.04494616996830791
ethnicity,hem_max,-0.026151192340677917
marital_DIVORCED,hem_max,-0.09781952351596611
marital_MARRIED,hem_max,0.01418161950542222
marital_SEPARATED,hem_max,-0.0010087454950220658
marital_SINGLE,hem_max,0.022823445584967024
marital_WIDOWED,hem_max,0.015073604470383122
icu_duration_hour,hem_max,0.19284873687145468
icu_times,hem_max,-0.08333839421672184
icu_times_total,hem_max,-0.10011807941405867
icu_times_sepsis,hem_max,-0.06541817186094834
icu_times_total_sepsis,hem_max,-0.06541817186094834
Comorbidity,hem_max,-0.08129315085029806
glu_min,hem_max,-0.10021085285511747
glu_max,hem_max,0.167464308201015
glu_avg,hem_max,0.10977186313378706
figglu_min,hem_max,-0.12233480315913592
figglu_max,hem_max,0.12405507601315356
figglu_avg,hem_max,0.02082172203456649
pot_min,hem_max,-0.1401301196581675
pot_max,hem_max,0.150941990904744
pot_avg,hem_max,0.022857546986329476
sod_min,hem_max,-0.072899096708403
sod_max,hem_max,0.15132802621577235
sod_avg,hem_max,0.0441396913387535
hem_min,hem_max,0.38984991840636807
hem_max,hem_max,1.0
hem_avg,hem_max,0.7832152289968455
chl_min,hem_max,-0.16769690706599774
chl_max,hem_max,0.045619591093608095
chl_avg,hem_max,-0.06316020542031664
bun_min,hem_max,-0.047164151605315875
bun_max,hem_max,0.10525970326117053
bun_avg,hem_max,0.029941478031494807
cre_min,hem_max,0.02533754585863295
cre_max,hem_max,0.06025552276376742
cre_avg,hem_max,0.05175772752152753
hemo_min,hem_max,0.4320229536149
hemo_max,hem_max,0.9077792661349794
hemo_avg,hem_max,0.7563228856239556
car_min,hem_max,-0.12818414400525374
car_max,hem_max,0.17920333450820292
car_avg,hem_max,0.05105132710205281
rbc_min,hem_max,0.37634860179081425
rbc_max,hem_max,0.7184741957766804
rbc_avg,hem_max,0.6559632643758551
pla_min,hem_max,-0.14655860924146555
pla_max,hem_max,0.06330392449115617
pla_avg,hem_max,-0.05451611201078819
wbc_min,hem_max,-0.07958627671975636
wbc_max,hem_max,0.08731413657351442
wbc_avg,hem_max,-0.0017136294501067448
hea_min,hem_max,-0.13716696822185806
hea_max,hem_max,0.2361997111056123
hea_avg,hem_max,0.047080837987438534
mag_min,hem_max,-0.10757033850087021
mag_max,hem_max,0.11260547538709398
mag_avg,hem_max,0.02177906755515809
res_min,hem_max,-0.19819017942050274
res_max,hem_max,0.1402459999347655
res_avg,hem_max,0.005525264561308639
spo_min,hem_max,-0.22049332156621923
spo_max,hem_max,-0.07054450418641865
spo_avg,hem_max,-0.11365956585336709
spo_alarms,hem_max,0.1805706866402634
temp_min,hem_max,-0.13737696333207053
temp_max,hem_max,0.10383347200100122
temp_avg,hem_max,0.00016492145790636826
hear_mode_1st Deg AV Block,hem_max,-0.02347386267279948
hear_mode_A Paced,hem_max,0.05951121249709313
hear_mode_AV Paced,hem_max,-0.001080497540186326
hear_mode_Atrial Fib,hem_max,0.07705971861760436
hear_mode_Atrial Flutter,hem_max,-0.013610999684478585
hear_mode_Junctional,hem_max,-0.025274130090622796
hear_mode_MultFocalAtrTach,hem_max,0.007660030005480666
hear_mode_Normal Sinus,hem_max,-0.08770017705526677
hear_mode_Parox Atr Tachy,hem_max,-0.005513634032960283
hear_mode_Sinus Brady,hem_max,0.014519552907258636
hear_mode_Sinus Tachy,hem_max,0.010842852549668481
hear_mode_V Paced,hem_max,0.06661507243811497
hear_last_1st Deg AV Block,hem_max,-0.02543404846556045
hear_last_2nd AVB Mobitz 2,hem_max,0.03181174740928997
hear_last_A Paced,hem_max,0.04881441106205173
hear_last_AV Paced,hem_max,0.02493985841405281
hear_last_Asystole,hem_max,0.06177659308454375
hear_last_Atrial Fib,hem_max,0.0948908663823754
hear_last_Atrial Flutter,hem_max,-0.07041826439877033
hear_last_Comp Heart Block,hem_max,-0.026442189427121256
hear_last_Idioventricular,hem_max,0.06404259140352034
hear_last_Junctional,hem_max,0.02121109769738437
hear_last_MultFocalAtrTach,hem_max,0.007660030005480666
hear_last_Normal Sinus,hem_max,-0.07913588760303217
hear_last_Other/Remarks,hem_max,-0.028641724398552282
hear_last_Sinus Brady,hem_max,-0.051595800176984674
hear_last_Sinus Tachy,hem_max,0.016672706016886668
hear_last_Supravent Tachy,hem_max,0.014978732249059398
hear_last_V Paced,hem_max,0.0065348265170706585
died_immediately,hem_max,0.11449720083181646
age,hem_avg,0.06898817175558217
gender,hem_avg,-0.031175637554808743
ethnicity,hem_avg,-0.03629755915128276
marital_DIVORCED,hem_avg,-0.07167199543012281
marital_MARRIED,hem_avg,-0.018976516409397664
marital_SEPARATED,hem_avg,0.008549727876261844
marital_SINGLE,hem_avg,0.025792027242708546
marital_WIDOWED,hem_avg,0.0362698162262141
icu_duration_hour,hem_avg,-0.1777712786180112
icu_times,hem_avg,-0.07489934208722239
icu_times_total,hem_avg,-0.08742884053486201
icu_times_sepsis,hem_avg,-0.06832755293880173
icu_times_total_sepsis,hem_avg,-0.06832755293880173
Comorbidity,hem_avg,-0.09843831067853318
glu_min,hem_avg,0.13060659334933133
glu_max,hem_avg,0.018265856505008508
