,diagnosis,num
4613,NON HODGKIN'S LYMPHOMA,1
4614,NON HEALING ULCER/SDA,1
4615,"NON HEALING ULCER, RIGHT LEG/SDA",1
4616,NON HEALING ULCER RIGHT LOWER EXTREMIOTY,1
4617,NON HEALING ULCER LEFT LOWER EXTREMITY,1
4618,NON HEALING ULCER LEFT LEG EXTREMITIES,1
4619,NON HEALING ULCER LEFT FOOT,1
4620,MASS BRAIN,1
4621,NECROTIZING FASCIATIS,1
4622,NECROTIZING FASCIETIS OF THE ABDOMEN,1
4623,NON HEALING RIGHT FOOT ULCER,1
4624,NON HEALING LEFT LOWER EXTREMITY ULCER,1
4625,NECROTIC PENIS,1
4626,NECROTIC PANCREATITIS,1
4627,NECROTIC MASTITIS OF THE RIGHT BREAST,1
4628,NECK PAIN;POSSIBLE INFECTION,1
4629,MANDIBULAR ABSCESS,1
4630,NON QWAVE MI,1
4631,NECK PAIN;? EPIDURAL ABSCESS,1
4632,NON Q WAVE MYOCARDIAL INFARCTION\CARDIAC CATHETERIZATION,1
4633,NON Q WAVE MYOCARDIAL INFARCTION\CARDIAC CATH,1
4634,NON Q WAVE MYOCARDIAL INFARCTION;GASTROINTESTINAL BLEED,1
4635,NON Q WAVE MYOCARDIAL INFARCTION;CORONARY ARTERY DISEASE\CATH,1
4636,NECK PAIN;ARM PAIN,1
4637,NON Q WAVE MYOCARDIAL INFACTION\CARDIAC CATH,1
4638,NECK PAIN;METS TO C-SPINE,1
4639,NON Q WAVE MI\CARDIAC CATH,1
4640,NON Q WAVE MI;HYPOTENSION\CATH,1
4641,MANDIBULAR MASS,1
4642,"MANIA, ANEMIA, LE EDEMA",1
4643,NON Q MU;UROSEPSIS,1
4644,NECROTIC CALVARIAL BONE FLAP AND CHRONIC SCALP WOUND/SDA,1
4645,MAOI OVERDOSE,1
4646,MEDIASTINAL HEMATOMA,1
4647,MARFAN'S AORTA\ DAVID PROCEDURE; REPLACEMENT OF ASCENDING AORTA & ARCH/SDA,1
4648,"MARFAN'S SYNDROME\BENTALL PROCEDURE; TOTAL VALVE SPARING ROOT REPLACEMENT VS; HOMOGRAFT  ROOT REPLACEMENT; REPLACEMENT OF ARCH, PROXIMAL ROOT/SDA",1
4649,NECK PHLEGMON,1
4650,NECK TUMOR,1
4651,NECRATIZING PANCREATITIS,1
4652,NECROTIC BOWEL,1
4653,NON Q MI;VTACH\CATH,1
4654,NON Q MI;PULMONART EDEMA\CATH,1
4655,NON Q MI;CORONARY ARTERY DISEASE\CATH,1
4656,NON Q MI;COPD\CATH,1
4657,NON Q MI;COPD;GI BLEED,1
4658,MEDIASTINAL AIR,1
4659,OVERDOSE OF BUSPAR & ORPHENADRINE CITRATE,1
4660,OVERDOSE ON ECSTASY,1
4661,MITRAL VSLVE DISORDER\MITRAL VALVE REPLACEMENT /SDA,1
4662,MENTAL STATUS CHANGES;?BLEED,1
4663,MR\MITRAL VALVE REPLACEMENT; ? CORONARY ARTERY BYPASS GRAFT ,1
4664,PELVIC FRACTURE;RETROPERITONEAL BLEED,1
4665,PELVIC FRACTURE;S/P FALL,1
4666,MR\MITRAL VALVE REPLACEMENT; ? AORTIC VALVE REPLACEMENT/SDA,1
4667,MR\MITRAL VALVE REPLACEMENT;  VIA RIGHT THORACOTOMY/SDA,1
4668,"MR\MITRAL VALVE REPLACEMENT,HEART PORT MINIMALLY INVASIVE; ? CORONARY ARTERY BYPASS GRAFT /SDA",1
4669,"MR\MITRAL VALVE REPLACEMENT,HEART PORT MINIMALLY INVASIVE ",1
4670,PEERFORATION,1
4671,"MR\MITRAL VALVE REPLACEMENT, L-VAD BACK-UP",1
4672,MENTAL STATUS CHANGES;?NORO VIRUS,1
4673,LUNG MASS-SHORTNESS OF BREATH,1
4674,"MR\MITRAL VALVE REPLACEMENT, ? CORONARY ARTERY BYPASS GRAFT  ",1
4675,"MR\MITRAL VALVE REPLACEMENT REDO, ? MYOMECTOMY/SDA",1
4676,MR\MITRAL VALVE REPLACEMENT REDO /SDA,1
4677,MR\MITRAL VALVE REPLACEMENT; ?AORTIC VALVE REPLACEMENT; ?CORONARY ARTERY BYPASS GRAFT,1
4678,MR\MITRAL VALVE REPLACEMENT; ASCENDING AORTA TO SUPRACILIAC AORTA BYPASS /SDA,1
4679,PELVIC FRACTURE;HYPOXIA,1
4680,PELVIC FRACTURE;HUMERUS FRACTURE,1
4681,MR\MITRAL VALVE REPLACEMENT; HEART PORT MINIMALY INVASIVE/SDA,1
4682,PELVIC FRACTURE;BLEED,1
4683,PELVIC FRACTURE; ICH,1
4684,MR\MITRAL VALVE REPLACEMENT; MAZE PROCEDURE/SDA,1
4685,"PELVIC FRACTURE,MULTIPLE TRAUMA",1
4686,PELVIC FRACTURE-S/P PEDESTRIAN STRUCK,1
4687,MR\MITRAL VALVE REPLACEMENT; RE-DO/SDA,1
4688,MR\MITRAL VALVE REPLACEMENT; REDO,1
4689,PELVIC BLEED,1
4690,MR\MITRAL VALVE REPLACEMENT; REDO WITH MAZE PROCEDURE/SDA,1
4691,MR\MITRAL VALVE REPLACEMENT; REDO/SDA,1
4692,PELVIC ADHESIONS AND BREAST CANCER/SDA,1
4693,MR\MITRAL VALVE REPLACEMENT; REDO; ? CABG/SDA,1
4694,MENTAL STATUS CHANGES;ACIDOSIS,1
4695,"MR\MITRAL VALVE REPLACEMENT MINIMALLY INVASIVE APPROACH,HEART PORT;CORONARY ARTERY DISEASE;TELEMETRY",1
4696,PELVIC INFECTION,1
4697,MR\CORONARY ARTERY BYPASS GRAFT; WITH MVR/SDA,1
4698,MR\ MITRAL VALVE REPLACEMENT REDO; ? MAZE/SDA,1
4699,MENTAL STATUS CHANGES;LOWER GI BLEED,1
4700,MR\ REDO MITRAL VALVE REPLACEMENT; HEART PORT MINIMALLY INVASIVE/SDA,1
4701,PELVIC PROLAPSE/SDA,1
4702,MENTAL STATUS CHANGES;LIVER CANCER,1
4703,MR\AORTIC VALVE REPLACEMENT; ?  CORONARY ARTERY BYPASS GRAFT/SDA,1
4704,MR\AORTIC VALVE REPLACEMENT; ?MVR/SDA,1
4705,MR\AORTIC VALVE REPLACEMENT; HEART PORT MINIMALLY INVASIVE/SDA,1
4706,PELVIC PAIN/SDA,1
4707,MR\CORONARY ARTERY BYPASS GRAFT WITH MVR /SDA,1
4708,PELVIC PAIN-? OVARIAN TORSION,1
4709,LUNG DISEASE/SDA,1
4710,PELVIC PAIN,1
4711,PELVIC ORGAN PROLAPSE; STRESS URINARY INCONTINENCE/SDA,1
4712,PELVIC ORGAN PROLAPSE /SDA,1
4713,PELVIC INFLAMMATORY DISEASE;SEPSIS;TELEMETRY,1
4714,PELVIC MASS;URINARY RETENTION,1
4715,LUNG HERNIA;DOE,1
4716,"PELVIC MASS, OVARIAN CA/SDA",1
4717,MR\MITRAL VALVE ANNULOPLASTY; HEART PORT MINIMALLY INVASIVE/SDA,1
4718,MR\MITRAL VALVE REPAIR REPLACEMENT/SDA,1
4719,MENTAL STATUS CHANGES;HYPONATREMIA,1
4720,LUNG LESION,1
4721,MENTAL STATUS CHANGES;HYPOGLYCEMIA,1
4722,MENTAL STATUS CHANGES;FAILURE TO THRIVE,1
4723,MENTAL STATUS CHANGES;BRAIN TUMOR,1
4724,MR\MITRAL VALVE REPLACEMENT MINIMALLY INVASIVE /SDA,1
4725,LUNG LESION\ RADIO FREQUENCY TUMOR ABLATION LEFT LUNG,1
4726,PELVIC INJURY,1
4727,MR\MITRAL VALVE REPLACEMENT MINIMALLY INVASIVE APPROACH,1
4728,MR\MITRAL VALVE REPLACEMENT; VIA STERNOTOMY/SDA,1
4729,PEDISTRIAN STUCK;INFERIOR RAMUS PELVIC FRACTURE,1
4730,PELVIS AND BILATERAL WRIST FRACTURES,1
4731,MULTI SYSTEM ORGAN FAILURE,1
4732,PCOM,1
4733,PCOM ANEURYSM/SDA,1
4734,MULTIFOCAL HEPATOCELLULAR CA/SDA,1
4735,MULTIFOCAL ATRIAL TACHYCARDIA,1
4736,MULTI VESSEL CORONARY ARTERY DISEASE;CHEST PAIN\CATH,1
4737,PDA/PREMATURITY,1
4738,PDA\ RE-DO RIGHT VENTRICULAR; FLOW RECONSTRUCTION/SDA,1
4739,PEDISTRIAN STRUCK;TELEMETRY,1
4740,MULTI SYSTEM FAILURE,1
4741,PE/DVT,1
4742,MULTI RIB FRACTURE-HYPOXIA,1
4743,PE/PNA,1
4744,PE;AORTIC DISSECTION,1
4745,PEA ARREST;MYOCARDIAL INFARCTION,1
4746,LUNG MASS;CHORD COMPRESSION,1
4747,PCN DESENTIZATION,1
4748,PCA ANEURYSM/SDA,1
4749,PATIENT FORAMEN OVALE\ PATIENT FORAMEN OVALE/SDA,1
4750,MULTIFOCAL PNA,1
4751,PATIENT FORAMEN OVALE\ PATENT FORAMEN OVALE MINIMALLY INVASIVE/SDA,1
4752,PATHOLOGICAL FRACTURES TO SPINE,1
4753,PATHOLOGIC FRACTURE OF MANDIBLE/SDA,1
4754,MENTAL STATUS CHANGES-HYPOXIA,1
4755,MULTIFOCAL PNEUMONIA,1
4756,LUNG MASS;TACHYPNEA,1
4757,"MULTIFOCAL PNEUMONIA,COPD,HYPERGLYCEMIA",1
4758,LUNG NODLE/SDA,1
4759,MULTILOBAR PNA,1
4760,PATENT FORAMEN OVALE\PATENT FORAMEN OVALE CLOSURE,1
4761,PATENT FORAMEN OVALE,1
4762,PATENT FORAMAN OVALE\ PATENT FORAMEN OVALE MINIMALLY INVASIVE/SDA,1
4763,"LUNG MASS, DIVERTICULAR ABSCESS",1
4764,"MENTAL STATUS CHANGES, FEVER",1
4765,MULTI ORGAN FAILURE,1
4766,MTIRAL REGURGITATION\MINIMALLY INVASIVE MITRAL VALVE REPAIR/SDA,1
4767,MR\MITRAL VALVE REPLACEMENT; WITH MAZE/SDA,1
4768,MRV\MITRAL VALVE REPLACEMENT/SDA,1
4769,PEDESTRIAN VS. MOTOR VEHICLE;SUBARACHNOID HEMORRHAGE;C7 JOINT FRACTURE,1
4770,PEDESTRIAN VS AUTO,1
4771,PEDESTRIAN STUCK,1
4772,"MENTAL STATUS CHANGES,CHF",1
4773,MS CHANGES AND HYPOTENSION,1
4774,PEDESTRIAN STRUCK;SUBDURAL HEMORRHAGE,1
4775,MS CHANGES;ACUTE RENAL FAILURE,1
4776,PEDESTRIAN STRUCK;MULTIPLE TRAUMA,1
4777,"PEDESTRIAN STRUCK,SUBARACHNOID HEMORRHAGE,ANKLE FRACTURE",1
4778,"PEDESTRIAN STRUCK,HEAD INJURY",1
4779,MS FLARE,1
4780,MSC;OD;CLOSED HEAD INJURY,1
4781,MUCOCELE/SDA,1
4782,PEANUT ALLERGIC REACTION;AIRWAY OBSTRUCTION,1
4783,"MENTAL STATUS CHANGES, RHABDO, ARF",1
4784,MUCUS PLUGGING,1
4785,MULITPLE RIB FRACTURES,1
4786,MULITPLE STAB WOUNDS/PENETRATING TRAUMA,1
4787,"MULT TRAUMA,S/P MVA",1
4788,PEDESTRIAN STRUCK BU MOTORCYCLE,1
4789,"MENTAL STATUS CHANGES, KETOACIDOSIS",1
4790,PEDESTRAIN STRUCK,1
4791,MULTI-TRAUMA-S/P MOTOR VEHICLE ACCIDENT,1
4792,PED. STRUCK L2 COMPRESSION FRACTURE;TELEMETRY,1
4793,PED STRUCK; MULTI SYSTEM TRAUMA,1
4794,MULTI DRUG OVERDOSE,1
4795,MULTI LOBAR PNEUMONIA,1
4796,MULTI LOBE PNEUMONIA,1
4797,PELVIC TUMOR/SDA,1
4798,MR\ MITRAL VALVE REPLACEMENT REDO WITH TVR ; VIA RIGHT THORACOTOMY/SDA,1
4799,MULTILOBULAR PNEUMONIA,1
4800,"PERICARDIAL EFFUSION,SEPSIS",1
4801,LUNG CANCER;SUPERIOR VENA CAVA SYNDROME,1
4802,MESOTHELIOMA,1
4803,PERICARDIAL EFFUSION WITH TAMONADE,1
4804,PERICARDIAL EFFUSION WITH TAMPONADE\PERICARDIOCENTESIS,1
4805,MESOTHELIOMA/SDA,1
4806,"PERICARDIAL EFFUSION, TOMPONADE",1
4807,"MOTOR VEHICAL CRASH,OPEN ANKLE FRACTURE",1
4808,PERFORATION S/P ERCP;GALLSTONES,1
4809,MOTOR CYCLE COLLISION,1
4810,PERICARDIAL EFFUSION/ PNEUMONIA,1
4811,MOTOR CYCLE ACCIDENT,1
4812,PERICARDIAL EFFUSION/NSTEMI,1
4813,PERICARDIAL EFFUSION/SDA,1
4814,PERICARDIAL EFFUSION; CHEST PAIN,1
4815,MOTOR VEHICLE ACCIDENT',1
4816,LUNG CANCER;SVC SYNDROME,1
4817,PERICARDIAL EFFUAION,1
4818,PERICARDIAL DRAIN,1
4819,MOTOR VEHICLE ACCIDENT WITH UNSPECIFIED INJURIES;INTRACRANIAL HEMORRHAGE,1
4820,PERICARDIAL CONSTRICTION,1
4821,PERICARDIAL ABSCESS,1
4822,PERICADIAL EFFUSION\PERICARDECTOMY/SDA,1
4823,LUNG CANCER;TELEMETRY,1
4824,MOTOR VEHICLE ACCIDENT WITH UNSPECIFIED INJURIES;LIVER LACERATION;FEMUR FX,1
4825,MOTOR VEHICLE ACCIDENT;BILATERAL PNEUMOTHORAX,1
4826,MOTOR VEHICLE ACCIDENT;PELVIC FRACTURE;RIB FRACTURE,1
4827,MOTOR VEHICLE ACCIDENT;RIB FRACTURES;INTRACRANIAL HEMORRHAGE,1
4828,PERIAPPENDICEAL ABSCESS,1
4829,LUNG CANCER;TRACEAL FISTULA,1
4830,PERI RECTAL ABSCESS,1
4831,MOTOR VEHICLE ACCIDENT\INJURIES;HEAD INJURY,1
4832,PERICARDIAL EFFUSION; DYSPNEA; METASTATIC BREAST CA\PERICARDIAL TAP,1
4833,MOTOR  VEHICLE ACCIDENT,1
4834,PERICARDIAL EFFUSION;ATRIAL FIBRILLATION\PERICARDIOCENTESIS,1
4835,PERICARDIAL EFFUSION;RIGHT HIP FRACTURE,1
4836,MITRAL VSLVE DISORDER\MITRAL VALVE REPLACEMENT/MYOMECTOMY/? MAZE/? LEFT ATRIAL APPENDAGE /SDA,1
4837,MITRIAL DISORDER\MITRAL VALVE REPLACEMENT; ? SEPTAL MYOMECTOMY/SDA,1
4838,PERICARDIAL EFFUSION;UPPER GASTROINTESTINAL BLEED,1
4839,MITRO VALVE DISECTION,1
4840,MITRO VALVE RELAPSE,1
4841,LUNG CANCER;PNEUMONIA,1
4842,PERICARDIAL EFFUSION;TELEMETRY,1
4843,MITTAL VALVE INSUFFICIENCY\MITRAL VALVE REPLACEMENT ,1
4844,MET BREAST CA,1
4845,MONO,1
4846,PERICARDIAL EFFUSION;SHORTNESS OF BREATH,1
4847,PERICARDIAL EFFUSION;S/P FALL,1
4848,MORBID OBESITY AND GALLSTONES/SDA,1
4849,MET ALKALOSIS,1
4850,"MORBID OBESITY, GALLSTONES/SDA",1
4851,MORPHINE OVERDOSE;ACUTE RENAL FAILURE,1
4852,PERICARDIAL EFFUSION;PLUERAL EFFUSIONS,1
4853,LUNG CANCER;RESPIRATORY DISTRESS,1
4854,MORBID OBESITY/GALLSTONES/SDA,1
4855,MESTERIC ISCHEMIA;ABDOMINAL PAIN,1
4856,PERICARDIAL EFFUSION;PLEURAL EFFUSION,1
4857,MORBID OBESITY;INCISIONAL HERNIA;GALLSTONES/SDA,1
4858,LUNG CANCER;RESPIRATORY FAILURE,1
4859,PERICARDIAL EFFUSION;PERICARDIAL TAMPONADE\PERICARDIOCENTESIS,1
4860,PERICARDIAL EFFUSION;NON SMALL CELL CARCINOMA,1
4861,PERICARDIAL EFFUSION;DYSPNEA\PERICARDIOCENTESIS,1
4862,MORBID OBESTIY /SDA,1
4863,PERICARDIAL EFFUSION;DYSPNEA,1
4864,PERICARDIAL EFFUSION;CHOLECYSTITIS,1
4865,PERICARDIAL EFFUSION;CARDIAC ARREST,1
4866,PERFORATION; S/P ERCP,1
4867,MOTOR VEHICLE COLLISION;HYPOXIA;RESPIRATORY FAILURE,1
4868,NEUTROPENIC FEVERS,1
4869,PERFERATED CECUM/SDA,1
4870,MR\ ? MITRAL VALVE REPLACEMENT; HOMOGRAFT ROOT REPLACEMENT/SDA,1
4871,MENTAL STUATUS CHANGE RULE-OUT EPIDURAL ABCESS,1
4872,"MR;CORONARY ARTERY DISEASE;AORTIC STENOSIS\AORTIC AND MITRAL VALVE REPLACEMENT,  CORONARY ARTERY BYPASS GRAFT, ASCENDING AORTA REPAIRT /SDA",1
4873,PERFED BOWEL,1
4874,PERFED DUODENUM,1
4875,MR;CORONARY ARTERY DISEASE;\CORONARY ARTERY BYPASS GRAFT;MITRAL VALVE REPLACEMENT;TRICUSPID VALVE REPLACEMENT,1
4876,PERFERATION S/P ERCP,1
4877,MOTOR VEHICLE COLLISION;LIVER HEMATOMA,1
4878,MR;AR\ AORTIC & MITRAL VALVE REPLACEMENT/SDA,1
4879,LUNG CARCINOMA,1
4880,PERFORATED ANUS,1
4881,MR;AORTIC STENOSIS\AORTIC VALVE REPLACEMENT;MITRAL VALVE REPLACEMENT/SDA,1
4882,PERFORATED APPENDIX,1
4883,PERFORATED BILE DUCT,1
4884,"LUNG CARCINOMA, RIGHT/SDA",1
4885,PERF APPENDIX,1
4886,MENTAL STATUS CHANGES;R/O SEPSIS,1
4887,PERCARDITIS\ PERICARDECTOMY/SDA,1
4888,PER OP LIVER,1
4889,PEPTIC ULCER;HIATIAL HERNIA/SDA,1
4890,PEPTIC ULCER DISEASE/VENTRAL HERNIA/SDA,1
4891,PENILE LACERATION-CELLULITIS,1
4892,MR\ BENTAL PROCEDURE REDO; MITRAL VALVE REPLACEMENT W/ TVR/SDA,1
4893,LUNG COLLAPSE,1
4894,MENTAL STATUS CHANGES;PERFORATED VISCUS,1
4895,PENILE CANCER/SDA,1
4896,PENCARDIAL EFFUSION;HYPOXIA,1
4897,MR\ MINIMALLY INVASIVE WITH HEART PORT; AND ENDOSCOPIC/SDA,1
4898,MR\ MITRAL VALVE PLACEMENT HEART PORT MINIMALLY INVASIVE/SDA,1
4899,PEMPHIGUSKIN CONDITION,1
4900,PELVIS FRACTURE;FACIAL FRACTURE,1
4901,LUNG CANFER;CHRONIC OBST PULM DISEASE;PNEUMONIA,1
4902,MR;AORTIC STENOSIS\AORTIC AND MITRAL VALVE REPLACEMENT /SDA,1
4903,PERFORATED BOWEL ,1
4904,MOTORCYCLE CRASH;TELEMETRY,1
4905,MOTOR VEHICLE COLLISION;RIGHT ANKLE FRACTURE,1
4906,PERFORATION S/P ERCP,1
4907,MOTOR VEHICLE COLLISON;? SEIZURES,1
4908,MOTOR VEHICLE CRASH;HYPOTENSION,1
4909,MESENTERIC VASCULAR INJURY,1
4910,"MOTORCYCLE ACCIDENT ,MBC",1
4911,MOTORCYCLE ACCIDENT SPLENIC LACERATION,1
4912,MOTORCYCLE ACCIDENT;SUBARACHNOID HEMORRHAGE,1
4913,PERFORATED VISCERA,1
4914,MOTORCYCLE ACCIDENT;TELEMETRY,1
4915,PERFORATED RIGHT CORONARY ARTERY,1
4916,MESENTERIC BLEEDING,1
4917,MESENTERIC BLEED,1
4918,MOTORCYCLE CRASH;LEG FRACTURE,1
4919,MR/CHF\MITRAL VALVE REPLACEMENT MINIMALLY INVASIVE APPROACH/SDA,1
4920,MR;AORTIC STENOSIS;AFIB\AORTIC VALVE REPLACEMENT;MITRAL VALVE REPLACEMENT; MAZE PROCEDURE/SDA,1
4921,PERFORATED GALLBLADDER/SDA,1
4922,PERFORATED ESPHAGUS,1
4923,MESENTERIC ARTERY OCCLUSION,1
4924,MR; CAD\CORONARY ARTERY BYPASS GRAFT;MITRAL VALVE REPLACEMENT/SDA,1
4925,PERFORATED DUODEUM,1
4926,LUNG CANCER;TRACHEAL ESOPHAGEAL FISTULA,1
4927,"MR;\MITRAL VALVE REPLACEMENT REDO, WITH MAZE",1
4928,MR;AF\MITRAL VALVE REPLACEMENT; MAZE PROCEDURE/SDA,1
4929,PERFORATED DIVERTICULITIS/SDA,1
4930,LUNG CANCER;WEAKNESS,1
4931,PERFORATED DIVERTICULA,1
4932,MESENTERIC ARTERY ISCHEMIA/SDA,1
4933,MR;AORTIC STENOSIS & INSUFFICIENCY\ AORTIC AND MITRAL VALVE REPLACEMENT; ? BENTAL PROCEDURE/SDA,1
4934,PERFORATED CHRON'S COLITIS,1
4935,PARTISL SMALL BOWELL OBSTRUCTION;DEHYDRATION,1
4936,PARTIAL THUMB AMPUTATION,1
4937,"OVERDOSE, SEPSIS",1
4938,PANCREATIC ABCESS,1
4939,"MVR\AORTIC VALVE REPLACEMENT, RE-DO/SDA",1
4940,"MVR, TVR",1
4941,MELANOMA\CHEMO(INTERLEUKIN-2),1
4942,PANCREATIC  CYST/SDA,1
4943,MVR CABG\MVR CABG,1
4944,MVP\MITRAL VALVE REPLACEMENT; HEART PORT MINIMALLY INVASIVE/SDA,1
4945,MVP\MITRAL VALVE REPLACEMENT/SDA,1
4946,MYASTHEMIA GRAVIS & THYMIC MASS/SDA,1
4947,MVP\MITRAL VALVE REPLACEMENT MINIMALLY INVASIVE APPROACH/SDA,1
4948,MVD\ MITIRAL VALVE REPAIR VS REPLACEMENT   ? CORONARY ARTERY BYPASS GRAFT    ,1
4949,MELANOTIC STOOL,1
4950,MVC;PELVIC FRACTURE,1
4951,LYMPHOMA;CHEMO,1
4952,PANCREATIC CA\ASSESS BILIARY STRICTURES **REMOTE WEST**,1
4953,MVR\CORONARY ARTERY BYPASS GRAFT WITH MVR ;TVR,1
4954,MVR\MITRAL VALVE REPAIR? REPLACEMENT ?TVR ,1
4955,PANCREAS CANCER/SDA,1
4956,MVR\MITRAL VALVE REPLACEMENT,1
4957,PANCREACYSTIC MASS/SDA,1
4958,PANCRATITIS,1
4959,PANCOAST TUMOR/SDA,1
4960,PANCEREATITIS\ERCP,1
4961,PAN;PERICARDIAL EFFUSION,1
4962,"PAN,ARF",1
4963,PAN COLITIS,1
4964,LYMPHOMA;CHEMOTHERAPY,1
4965,PALPITATIONS;ACUTE RENAL FAILURE,1
4966,MELANOMA;WEAKNESS,1
4967,"PALPITATIONS,SYNCOPE,SOB",1
4968,"PALPITATIONS, SOB, ATRIAL MYXOMA",1
4969,MELANOMA;FEVER,1
4970,LYMPHOMA/COUGH/R/O PULMONARY INFECTION,1
4971,LYMPHOMA/ PLURAL EFFUSION,1
4972,"MVC,PNEUMOTHORAX,RT WRIST FRACTURE",1
4973,MENGIOMA/SDA,1
4974,PANCREATIC FISTULA;ABDOMINAL PAIN,1
4975,MV ENDOCARDITIS\MITRAL VALVE REPLACEMENT /SDA,1
4976,MV PROLAPSE\MITRAL VALVE REPLACEMENT/SDA,1
4977,MV\MITRAL VALVE REPLACEMENT; ?MINIMALLY INVASIVE/SDA,1
4978,LYMPHEPIT HELIOMA,1
4979,MENIGITIS,1
4980,"MVA,HEAD BLEED",1
4981,MVA; HEAD BLEED,1
4982,MVA;CLOSED HEAD INJURY,1
4983,PANCREATIC DUODENAL ANEURYSM,1
4984,MVA;PNEUMOTHORAX,1
4985,PANCREATIC DUCT CANCER/SDA,1
4986,PANCREATIC CYST\EUS,1
4987,PANCREATIC CYST\ERCP ,1
4988,PANCREATIC CYST PLANNED WHIPPLE PROCEDURE,1
4989,PANCREATIC CANCER;BILE DUCT OBSTRUCTION,1
4990,MVA;TRAUMA,1
4991,MENGIOMA OF BRAIN/SDA,1
4992,PANCREATIC COLONIC FISTULA,1
4993,MVC L1 FRACTURE,1
4994,PANCREATIC CANCER\CHEMO EMBOLIZATION LIVER/SDA,1
4995,MELENA;TELEMETRY,1
4996,MVC TRAUMA,1
4997,PANCREATIC CANCER;RESPIRATORY FAILURE\WHIPPLE PROCEDURE,1
4998,PANCREATIC CANCER;RAPID ATRIA; FIBRILLATION,1
4999,PANCREATIC CANCER;GASTRIC OUTLET OBSTRUCTION,1
5000,"MVC, FEMUR FX",1
5001,PANCREATIC CANCER;FEBRILE NEUTROPENIA,1
5002,"LYMPHOMA,FEVER, NEUTROPENIA",1
5003,"MVC, LIVER LAC X 2",1
5004,MVR\MITRAL VALVE REPLACEMENT; RIGHT THORACOTOMY WITH BEATING HEART/SDA,1
5005,LYMPHOMA;FEBRILE NEUTROPENIA,1
5006,MUTIPLE RIB FRACTURE;RIGHT CLAVICLE FRACTURE;HEMOTHORAX;PNEUMOTHORAX,1
5007,OVERMEDICATED,1
5008,MYESTHENIA GRAVIS EXACERBATION,1
5009,OVERDOSE;SUICIDAL IDEATION,1
5010,MYESTEMIA,1
5011,MYELOMA;SEVERE ANEMIA,1
5012,MYELODYSPLATIC SYNDROME;ACUTE MYELOGENOUS LEUKEMIA,1
5013,MYELODYSPLASTIC SYNDROME\CHEMOTHERAPY,1
5014,MYELODYSPLASTIC SYNDROME;FEVER;LOW BLOOD COUNT,1
5015,PALPATATIONS,1
5016,MYELODYSPLASTIC SYNDROME,1
5017,LYMPHOMA;SHORTNESS OF BREATH,1
5018,OXYCONTIN OVERDOSE,1
5019,PACEMAKER ASSESSMENT,1
5020,MYELODYSPLASIA;FEVER,1
5021,PACEMAKER ESTRACTION,1
5022,OVERDOSE;R/O MENINGITIS,1
5023,MYESTHENIA GRAVIS/SDA,1
5024,"MELANOMA, LEFT FACIAL REGION/SDA",1
5025,OVERDOSE;CHANGE IN MENTAL STATUS;TELEMETRY,1
5026,OVERDOSE;ARDS,1
5027,OVERDOSE;APNEA;TELEMETRY,1
5028,OVERDOSE;ALTERED MENTAL STATUS,1
5029,MYESTHENIC CRISIS,1
5030,MYOCARDIAL INFACTION/CHF/RENAL INSUFFICIENCY,1
5031,OVERDOSE; ASPIRATION,1
5032,MELANOMA WITH BRAIN METS,1
5033,OVERDOSE/HYPOXIA,1
5034,OVERDOSE/ SUICIDIAL IDEATION,1
5035,MYOCARDIAL INFARCT;DIABETIC KETOACIDOSIS,1
5036,"OVERDOSE,TRICYCLIC ANTIDEPRESSANT",1
5037,"OVERDOSE,ALTERED MENTAL STATUS",1
5038,MYOCARDIAL INFARCT;HYPOTENSION,1
5039,PACEMAKER FAILURE; TEMPORARY PACING WIRE,1
5040,MELANOMA; AIRWAY OBTRUCTION,1
5041,PACEMAKER FAILURE;TELEMETRY,1
5042,PACER MALFUNCTION,1
5043,PALATE CANCER/SDA,1
5044,MYASTHENIA FLARE,1
5045,PAINLESS JAUNDICE AND WEIGHT LOSS,1
5046,PAINLESS JAUNDICE ; BILIARY OBSTRUCTION,1
5047,MYASTHENIA GRAVID,1
5048,PAINFUL RIGHT TOTAL HIP/SDA,1
5049,MELANOMA;FAILURE TO THRIVE,1
5050,PAINFUL RIGHT TOTAL HIP REPLACEMENT/SDA,1
5051,PAINFUL HARDWARE RIGHT FOOT/SDA,1
5052,PAINFUL HARDWARE LEFT KNEE/SDA,1
5053,MYASTHENIA GRAVIS/SDA,1
5054,MYASTHENIA GRAVIS;TELEMETRY,1
5055,MYASTHENIC CRISIS,1
5056,PACREATITIS/SEPSIS,1
5057,MYASTHENIC GRAVIS,1
5058,MYELODYSPLASIA;BONE MARROW TRANSPLANT/SDA,1
5059,MYASTHESNIA GRAVIA;VENTRAL HERNIA,1
5060,MYCOCARDIAL INFARCTION\CARDIAC CATHETERIZATION,1
5061,MYCOPLASMA;PNEUMONIA,1
5062,PACER EROSION,1
5063,LYMPHOMA;HIP FRACTURE,1
5064,PACEMAKER REVISION,1
5065,PACEMAKER PLACEMENT\ LEFT VENTRICULAR LEAD PLACEMENT/SDA,1
5066,LYMPHOMA;HYPERTENSION,1
5067,PACEMAKER LEAD MALFUNCTION\PACEMAKER LEAD REVISION,1
5068,PACEMAKER INSTALLATION\ LEFT VENTRICULAR LEAD PLACEMENT/SDA,1
5069,MYCOTIC ANEURYSM,1
5070,LYMPHOMA;HYPOXIA,1
